iter	Passed	Remaining
764	44271	534436
765	44328	534367
766	44386	534313
767	44446	534280
768	44506	534250
769	44567	534230
770	44626	534189
771	44684	534133
772	44742	534070
773	44800	534018
774	44860	533978
775	44916	533901
776	44973	533836
777	45033	533800
778	45089	533724
779	45145	533647
780	45201	533564
781	45258	533499
782	45314	533410
783	45370	533336
784	45431	533318
785	45488	533246
786	45548	533211
787	45603	533123
788	45660	533056
789	45718	533002
790	45775	532924
791	45832	532861
792	45892	532826
793	45949	532757
794	46007	532708
795	46063	532624
796	46119	532545
797	46175	532464
798	46232	532399
799	46288	532320
800	46345	532247
801	46403	532192
802	46461	532137
803	46520	532087
804	46580	532062
805	46638	532005
806	46696	531943
807	46756	531910
808	46816	531877
809	46874	531821
810	46934	531790
811	46992	531735
812	47049	531666
813	47106	531602
814	47164	531544
815	47221	531473
816	47278	531403
817	47334	531324
818	47391	531261
819	47447	531177
820	47506	531135
821	47566	531102
822	47623	531030
823	47681	530977
824	47738	530909
825	47800	530899
826	47856	530823
827	47914	530766
828	47974	530723
829	48030	530654
830	48087	530579
831	48147	530545
832	48203	530469
833	48258	530378
834	48314	530302
835	48375	530283
836	48435	530245
837	48494	530200
838	48551	530131
839	48618	530170
840	48681	530169
841	48739	530116
842	48798	530072
843	48856	530014
844	48914	529955
845	48971	529884
846	49029	529831
847	49084	529746
848	49140	529665
849	49197	529591
850	49255	529539
851	49314	529491
852	49374	529462
853	49431	529395
854	49490	529340
855	49547	529273
856	49605	529218
857	49661	529147
858	49719	529087
859	49775	529007
860	49830	528919
861	49889	528870
862	49947	528817
863	50006	528773
864	50063	528702
865	50122	528661
866	50183	528635
867	50243	528594
868	50301	528545
869	50358	528470
870	50415	528411
871	50474	528361
872	50533	528318
873	50591	528254
874	50647	528183
875	50707	528140
876	50763	528068
877	50822	528016
878	50877	527932
879	50934	527861
880	50991	527796
881	51046	527712
882	51104	527653
883	51161	527592
884	51220	527541
885	51275	527457
886	51328	527349
887	51387	527300
888	51445	527246
889	51504	527199
890	51561	527126
891	51617	527052
892	51673	526982
893	51730	526911
894	51788	526851
895	51846	526794
896	51902	526724
897	51961	526670
898	52018	526610
899	52076	526551
900	52133	526488
901	52193	526452
902	52250	526383
903	52308	526325
904	52365	526263
905	52423	526206
906	52481	526145
907	52539	526090
908	52599	526051
909	52654	525970
910	52710	525894
911	52769	525842
912	52825	525764
913	52881	525686
914	52937	525614
915	52993	525535
916	53051	525477
917	53108	525411
918	53165	525348
919	53222	525285
920	53279	525215
921	53334	525134
922	53390	525057
923	53449	525007
924	53506	524944
925	53569	524936
926	53627	524881
927	53686	524830
928	53742	524754
929	53801	524704
930	53855	524618
931	53913	524554
932	53967	524460
933	54026	524418
934	54083	524352
935	54142	524298
936	54199	524232
937	54254	524150
938	54313	524107
939	54374	524081
940	54433	524027
941	54491	523978
942	54549	523918
943	54612	523908
944	54672	523868
945	54729	523810
946	54790	523778
947	54847	523711
948	54909	523690
949	54974	523707
950	55034	523670
951	55096	523648
952	55155	523602
953	55213	523539
954	55268	523458
955	55324	523381
956	55380	523310
957	55436	523236
958	55492	523156
959	55550	523096
960	55608	523041
961	55666	522991
962	55725	522943
963	55785	522897
964	55844	522851
965	55901	522787
966	55964	522780
967	56024	522743
968	56082	522685
969	56140	522631
970	56200	522587
971	56256	522516
972	56315	522462
973	56373	522407
974	56430	522347
975	56486	522267
976	56548	522251
977	56609	522223
978	56666	522150
979	56722	522074
980	56781	522028
981	56840	521984
982	56900	521940
983	56959	521894
984	57018	521852
985	57078	521814
986	57136	521756
987	57196	521712
988	57255	521666
989	57314	521618
990	57371	521554
991	57429	521498
992	57486	521434
993	57544	521377
994	57602	521312
995	57659	521248
996	57717	521194
997	57775	521135
998	57830	521057
999	57889	521004
1000	57943	520916
1001	58002	520862
1002	58057	520779
1003	58113	520706
1004	58170	520636
1005	58226	520562
1006	58283	520501
1007	58340	520431
1008	58396	520362
1009	58455	520313
1010	58511	520239
1011	58566	520153
1012	58624	520096
1013	58683	520046
1014	58743	520007
1015	58807	520005
1016	58869	519987
1017	58926	519922
1018	58982	519848
1019	59038	519766
1020	59096	519709
1021	59151	519626
1022	59208	519563
1023	59265	519501
1024	59321	519425
1025	59379	519368
1026	59438	519316
1027	59496	519259
1028	59555	519211
1029	59614	519162
1030	59671	519102
1031	59731	519066
1032	59790	519017
1033	59853	519001
1034	59914	518967
1035	59971	518900
1036	60028	518836
1037	60088	518797
1038	60149	518764
1039	60207	518710
1040	60268	518681
1041	60327	518627
1042	60384	518563
1043	60442	518511
1044	60499	518439
1045	60554	518362
1046	60613	518314
1047	60670	518244
1048	60728	518186
1049	60785	518124
1050	60855	518169
1051	60917	518149
1052	60975	518086
1053	61033	518033
1054	61093	517990
1055	61151	517937
1056	61208	517865
1057	61265	517804
1058	61322	517740
1059	61380	517678
1060	61437	517617
1061	61496	517566
1062	61552	517496
1063	61612	517455
1064	61668	517381
1065	61724	517308
1066	61781	517237
1067	61845	517228
1068	61911	517244
1069	61971	517203
1070	62032	517165
1071	62095	517157
1072	62158	517140
1073	62221	517122
1074	62284	517104
1075	62346	517078
1076	62407	517046
1077	62466	517003
1078	62527	516967
1079	62586	516916
1080	62641	516832
1081	62701	516791
1082	62770	516829
1083	62836	516838
1084	62906	516880
1085	62974	516898
1086	63039	516902
1087	63108	516931
1088	63178	516970
1089	63247	517003
1090	63313	517010
1091	63379	517019
1092	63442	517000
1093	63503	516965
1094	63566	516948
1095	63625	516895
1096	63682	516836
1097	63741	516786
1098	63796	516697
1099	63850	516604
1100	63906	516531
1101	63962	516462
1102	64017	516377
1103	64071	516287
1104	64127	516211
1105	64182	516125
1106	64237	516045
1107	64293	515969
1108	64347	515884
1109	64403	515809
1110	64459	515732
1111	64513	515645
1112	64568	515559
1113	64621	515466
1114	64676	515379
1115	64735	515335
1116	64799	515317
1117	64856	515255
1118	64913	515187
1119	64972	515138
1120	65026	515053
1121	65082	514972
1122	65137	514896
1123	65199	514863
1124	65257	514811
1125	65312	514724
1126	65365	514631
1127	65422	514563
1128	65484	514540
1129	65544	514494
1130	65601	514428
1131	65656	514350
1132	65714	514288
1133	65770	514218
1134	65827	514153
1135	65887	514105
1136	65951	514097
1137	66013	514069
1138	66070	514001
1139	66132	513976
1140	66189	513914
1141	66257	513931
1142	66322	513926
1143	66380	513869
1144	66438	513812
1145	66499	513773
1146	66558	513726
1147	66622	513713
1148	66680	513656
1149	66738	513599
1150	66794	513525
1151	66850	513451
1152	66905	513366
1153	66964	513314
1154	67025	513282
1155	67084	513230
1156	67140	513159
1157	67195	513075
1158	67249	512984
1159	67299	512872
1160	67356	512803
1161	67414	512742
1162	67468	512659
1163	67520	512551
1164	67575	512469
1165	67628	512373
1166	67682	512284
1167	67735	512193
1168	67788	512098
1169	67842	512004
1170	67895	511912
1171	67948	511815
1172	68000	511714
1173	68052	511608
1174	68105	511516
1175	68157	511410
1176	68208	511305
1177	68261	511205
1178	68314	511113
1179	68369	511034
1180	68421	510930
1181	68476	510848
1182	68529	510754
1183	68587	510696
1184	68643	510624
1185	68697	510537
1186	68750	510445
1187	68806	510375
1188	68867	510339
1189	68933	510340
1190	68998	510334
1191	69060	510304
1192	69122	510274
1193	69184	510249
1194	69253	510277
1195	69315	510244
1196	69376	510209
1197	69438	510179
1198	69498	510139
1199	69558	510098
1200	69627	510116
1201	69685	510059
1202	69741	509991
1203	69804	509965
1204	69863	509914
1205	69922	509863
1206	69979	509798
1207	70035	509726
1208	70091	509659
1209	70150	509602
1210	70208	509546
1211	70263	509468
1212	70320	509406
1213	70376	509334
1214	70431	509254
1215	70488	509185
1216	70543	509110
1217	70600	509045
1218	70658	508982
1219	70714	508915
1220	70771	508851
1221	70830	508794
1222	70888	508738
1223	70944	508666
1224	71001	508601
1225	71061	508556
1226	71117	508490
1227	71177	508446
1228	71256	508533
1229	71345	508699
1230	71413	508714
1231	71474	508678
1232	71538	508658
1233	71597	508609
1234	71656	508555
1235	71711	508479
1236	71770	508427
1237	71832	508394
1238	71891	508345
1239	71946	508269
1240	72003	508198
1241	72061	508144
1242	72119	508083
1243	72179	508040
1244	72236	507973
1245	72290	507892
1246	72344	507803
1247	72400	507733
1248	72455	507650
1249	72513	507597
1250	72572	507542
1251	72629	507478
1252	72684	507401
1253	72738	507314
1254	72796	507255
1255	72850	507172
1256	72906	507095
1257	72963	507033
1258	73018	506954
1259	73073	506873
1260	73126	506784
1261	73182	506707
1262	73234	506613
1263	73288	506527
1264	73342	506439
1265	73394	506338
1266	73447	506245
1267	73504	506181
1268	73557	506093
1269	73609	505990
1270	73661	505895
1271	73713	505797
1272	73766	505706
1273	73822	505633
1274	73875	505539
1275	73932	505473
1276	73986	505387
1277	74042	505317
1278	74096	505237
1279	74152	505166
1280	74208	505094
1281	74265	505031
1282	74325	504985
1283	74394	505004
1284	74453	504950
1285	74522	504965
1286	74585	504942
1287	74645	504901
1288	74703	504843
1289	74760	504781
1290	74823	504753
1291	74881	504696
1292	74940	504642
1293	74995	504569
1294	75052	504500
1295	75108	504431
1296	75163	504352
1297	75217	504272
1298	75272	504193
1299	75327	504116
1300	75381	504030
1301	75436	503950
1302	75489	503863
1303	75548	503813
1304	75606	503752
1305	75661	503675
1306	75716	503596
1307	75773	503536
1308	75830	503470
1309	75882	503376
1310	75937	503295
1311	75993	503223
1312	76048	503145
1313	76104	503077
1314	76162	503021
1315	76220	502963
1316	76279	502909
1317	76335	502844
1318	76392	502780
1319	76450	502719
1320	76511	502681
1321	76571	502638
1322	76631	502590
1323	76689	502534
1324	76745	502468
1325	76802	502400
1326	76860	502347
1327	76916	502276
1328	76976	502228
1329	77033	502168
1330	77089	502094
1331	77145	502023
1332	77202	501958
1333	77258	501891
1334	77314	501820
1335	77371	501759
1336	77430	501706
1337	77492	501671
1338	77549	501610
1339	77608	501561
1340	77665	501494
1341	77721	501426
1342	77780	501371
1343	77835	501297
1344	77890	501222
1345	77945	501144
1346	78003	501084
1347	78057	501001
1348	78112	500928
1349	78168	500857
1350	78224	500785
1351	78278	500707
1352	78335	500639
1353	78390	500564
1354	78448	500509
1355	78507	500455
1356	78564	500392
1357	78620	500321
1358	78678	500263
1359	78735	500199
1360	78793	500146
1361	78850	500079
1362	78904	499996
1363	78959	499922
1364	79018	499870
1365	79080	499840
1366	79140	499794
1367	79194	499710
1368	79248	499630
1369	79305	499564
1370	79359	499483
1371	79414	499405
1372	79469	499331
1373	79524	499257
1374	79578	499172
1375	79635	499113
1376	79692	499047
1377	79748	498979
1378	79805	498914
1379	79873	498921
1380	79943	498936
1381	80023	499015
1382	80107	499123
1383	80172	499108
1384	80235	499082
1385	80299	499059
1386	80362	499033
1387	80428	499028
1388	80493	499015
1389	80556	498987
1390	80620	498968
1391	80684	498948
1392	80746	498912
1393	80805	498859
1394	80864	498807
1395	80922	498752
1396	80985	498727
1397	81047	498689
1398	81105	498635
1399	81162	498572
1400	81218	498500
1401	81278	498454
1402	81335	498391
1403	81391	498322
1404	81451	498271
1405	81513	498243
1406	81575	498205
1407	81636	498169
1408	81695	498115
1409	81755	498071
1410	81813	498014
1411	81870	497948
1412	81926	497877
1413	81982	497808
1414	82039	497743
1415	82093	497665
1416	82148	497584
1417	82202	497507
1418	82260	497445
1419	82315	497368
1420	82371	497300
1421	82428	497236
1422	82485	497175
1423	82542	497112
1424	82597	497035
1425	82655	496977
1426	82712	496910
1427	82770	496857
1428	82829	496801
1429	82887	496745
1430	82943	496672
1431	82996	496590
1432	83051	496514
1433	83107	496441
1434	83165	496386
1435	83226	496347
1436	83285	496291
1437	83341	496224
1438	83400	496174
1439	83456	496104
1440	83518	496068
1441	83575	496005
1442	83633	495946
1443	83692	495892
1444	83751	495841
1445	83810	495793
1446	83868	495732
1447	83922	495655
1448	83978	495584
1449	84033	495505
1450	84086	495420
1451	84142	495352
1452	84204	495318
1453	84261	495254
1454	84319	495193
1455	84375	495127
1456	84433	495071
1457	84494	495026
1458	84552	494972
1459	84608	494902
1460	84665	494840
1461	84723	494779
1462	84778	494703
1463	84832	494621
1464	84886	494541
1465	84942	494475
1466	85000	494414
1467	85056	494347
1468	85111	494275
1469	85166	494196
1470	85219	494109
1471	85273	494027
1472	85329	493961
1473	85390	493921
1474	85446	493849
1475	85500	493769
1476	85556	493702
1477	85609	493617
1478	85666	493555
1479	85720	493471
1480	85774	493392
1481	85829	493315
1482	85884	493240
1483	85940	493171
1484	85994	493090
